Stage1, Root, NoShortage_P1, CostExpressions, 1, 2925000000.0
Stage1, Root, NoShortage_P2, CostExpressions, 1, 2925000000.0
Stage1, Root, NoShortage_P3, CostExpressions, 1, 2925000000.0
Stage1, Root, S1_P1, CostExpressions, 1, 2925000000.0
Stage1, Root, S1_P2, CostExpressions, 1, 2925000000.0
Stage1, Root, S1_P3, CostExpressions, 1, 2925000000.0
Stage1, Root, S2_P1, CostExpressions, 1, 2925000000.0
Stage1, Root, S2_P2, CostExpressions, 1, 2925000000.0
Stage1, Root, S2_P3, CostExpressions, 1, 2925000000.0
Stage1, Root, S3_P1, CostExpressions, 1, 2925000000.0
Stage1, Root, S3_P2, CostExpressions, 1, 2925000000.0
Stage1, Root, S3_P3, CostExpressions, 1, 2925000000.0
Stage1, Root, S4_P2, CostExpressions, 1, 2925000000.0
Stage1, Root, S4_P3, CostExpressions, 1, 2925000000.0
Stage1, Root, S5_P3, CostExpressions, 1, 2925000000.0
Stage1, Root, S6_P3, CostExpressions, 1, 2925000000.0
Stage1, Root, S7_P3, CostExpressions, 1, 2925000000.0
Stage2, P1, NoShortage_P1, CostExpressions, 2, 0.0
Stage2, P1, S1_P1, CostExpressions, 2, 0.0
Stage2, P1, S2_P1, CostExpressions, 2, 0.0
Stage2, P1, S3_P1, CostExpressions, 2, 0.0
Stage2, P2, NoShortage_P2, CostExpressions, 2, 0.0
Stage2, P2, S1_P2, CostExpressions, 2, 0.0
Stage2, P2, S2_P2, CostExpressions, 2, 0.0
Stage2, P2, S3_P2, CostExpressions, 2, 0.0
Stage2, P2, S4_P2, CostExpressions, 2, 0.0
Stage2, P3, NoShortage_P3, CostExpressions, 2, 684000600.0
Stage2, P3, S1_P3, CostExpressions, 2, 684000600.0
Stage2, P3, S2_P3, CostExpressions, 2, 684000600.0
Stage2, P3, S3_P3, CostExpressions, 2, 684000600.0
Stage2, P3, S4_P3, CostExpressions, 2, 684000600.0
Stage2, P3, S5_P3, CostExpressions, 2, 684000600.0
Stage2, P3, S6_P3, CostExpressions, 2, 684000600.0
Stage2, P3, S7_P3, CostExpressions, 2, 684000600.0
Stage3, NoShortage_P1, NoShortage_P1, CostExpressions, 3, 0.0
Stage3, NoShortage_P2, NoShortage_P2, CostExpressions, 3, 0.0
Stage3, NoShortage_P3, NoShortage_P3, CostExpressions, 3, 0.0
Stage3, S1_P1, S1_P1, CostExpressions, 3, 0.0
Stage3, S1_P2, S1_P2, CostExpressions, 3, 0.0
Stage3, S1_P3, S1_P3, CostExpressions, 3, 0.0
Stage3, S2_P1, S2_P1, CostExpressions, 3, 0.0
Stage3, S2_P2, S2_P2, CostExpressions, 3, 0.0
Stage3, S2_P3, S2_P3, CostExpressions, 3, 0.0
Stage3, S3_P1, S3_P1, CostExpressions, 3, 0.0
Stage3, S3_P2, S3_P2, CostExpressions, 3, 0.0
Stage3, S3_P3, S3_P3, CostExpressions, 3, 0.0
Stage3, S4_P2, S4_P2, CostExpressions, 3, 0.0
Stage3, S4_P3, S4_P3, CostExpressions, 3, 0.0
Stage3, S5_P3, S5_P3, CostExpressions, 3, 0.0
Stage3, S6_P3, S6_P3, CostExpressions, 3, 6000000.0
Stage3, S7_P3, S7_P3, CostExpressions, 3, 172000000.0
